UniqueId,Business name,Address,City,Pincode,State,Website,Main Category,Sub Category,Latitude,Longitude,Phone No.1,Phone No.2,Business Hours,Phone Remark
ICL0556829,Andic Lifescuencs Private Limited,"B-44, Circle-B, S G Road, B/H Hotel Pakwan-Ii, Bodakdev",Ahmedabad,380054,Gujarat,,Health,Pharmacies,23.033136,72.509951,9825089213,,08:30 AM TO 10:00 PM,
ICL8849096,Shaaddha Clinic,"Prince Flat, Near Raghuvir Complex, Nava Naroda Road, Near Bhavani Dairy Parlour, Krishna Nagar",Ahmedabad,382345,Gujarat,,Health,Clinics,23.05198459,72.65818539,9558805548,,11:00 AM TO 01:30 PM AND 05:00 PM TO 09:00 PM,
ICL7627485,Ahmedabad Physiotherapy College,"Ghuma, Bopal-Ghuma Road, State Highway, South Bopal, Bopal",Ahmedabad,380058,Gujarat,,Education,Colleges,23.0299315,72.4590718,2717233127,,10:00 AM TO 04:00 PM,
ICL6008863,Bharti Talim Shala,"Opp Infinium Toyota, Nana Chiloda",Ahmedabad,382330,Gujarat,,Education,Schools,23.098598,72.666161,9825398980,,08:00 AM TO 02:00 PM,
ICL1160616,Dr Brijesh S Patel - (Brij Dental Clinic),"1St Floor, Akash 3 Complex, 132 Feet Ring Road, Near Aec Cross Road, Naranpura",Ahmedabad,380013,Gujarat,,Health,Doctor,23.056774,72.549176,9898212228,,11:00 AM TO 02:00 PM AND 05:00 PM TO 08:00 PM,
ICL1656394,Sanjeevani Medicines,"India Colony, Bapunagar Road, Near Ramji Mandir Road, Bapu Nagar",Ahmedabad,380024,Gujarat,,Health,Pharmacies,23.034116,72.634274,7922770361,,09:00 AM TO 11:00 PM,
ICL0925184,Meghani Nagar Police Station,"Ratansagar Char Rasta, Meghani Nagar",Ahmedabad,382345,Gujarat,,Govt. Office,Police Station,23.058226,72.620282,7922680408,,24 HRS,
ICL8438359,Sun Chemist,"Sector-7/A, Opp Utkarsh School, Near Rameshwar Mandir, Nirnai Nagar",Ahmedabad,382481,Gujarat,,Health,Pharmacies,23.0758166,72.5611666,9898494859,,09:30 AM TO 11:00 PM,
ICL7199864,The Express Academy,"Naxatra Complex, Chandkheda, Near Bank Of India Atm",Ahmedabad,382424,Gujarat,,Education,Coaching / Training Centers,23.112641,72.5747,9737448382,,07:00 AM TO 02:00 PM,
ICL6270135,Amee International,"12, 1St Floor, Paim Spring Building, Off C G Road, Nr Parimal Garden, Behind World Class Business House",Ahmedabad,380006,Gujarat,,Health,Pharmacies,23.019624,72.558466,7926408171,,09:00 AM TO 10:00 PM,
ICL18963252,Ippb,"Naroda Ie Post Officepl, Gidc, Naroda",Ahmedabad,382330,Gujarat,,Govt. Office,Aadhar Centre,23.08357483,72.66752313,1123362148,,10:00 AM TO 02:00 PM,
ICL0584964,Patanjali Chikitsalay,"Bunglow No 2, Shiddhi-1 Bungalows, Opposite Murlidhar Gwaliya, Near Bopal Circle, S P Ring Road, Thaltej",Ahmedabad,380058,Gujarat,,Health,"Alternate Medicine ( Ayurveda, Homeopathy)",23.02981655,72.47364736,8141704042,,09:30 AM TO 10:00 PM,
ICL3449232,Parekh Dr Harshad N,"1, Indraneel Society, Opp Jivraj Park, Vejalpur",Ahmedabad,380051,Gujarat,,Health,Doctor,23.005912,72.53105,7926810503,,11:00 AM TO 01:30 PM AND 05:00 PM TO 08:30 PM,
ICL1253063,Dr Rawal'S Dental Clinic,"Ff/15 Abhinandan Complex, Opp. Inductotherm Factory, Nandanpark Society, Bopal",Ahmedabad,380058,Gujarat,,Health,Clinics,23.03148229,72.47194715,9624519844,,10:30 AM TO 11:30 PM,
ICL0379595,Chandramoli Mahadev Temple,"Plot No 21/22, Vibhavari Society, Juhapura",Ahmedabad,380051,Gujarat,,Religion,Temples,23.004236,72.529464,,,06:00 AM TO 09:30 AM AND 05:00 PM TO 09:30 PM,
ICL2137872,Udgam Institute,"A/4, Alaknanda Flat, Opp Bhimal Flat, Nr Azad Society, Ambavadi",Ahmedabad,380054,Gujarat,,Education,Coaching / Training Centers,23.050019,72.51988,7926752464,,09:00 AM TO 11:00 PM AND 02:00 PM TO 09:00 PM,
ICL2058319,Jeets Academy,"224, Saman Complex, Mansi Cross Road, Vastrapur",Ahmedabad,380015,Gujarat,,Education,Coaching / Training Centers,23.032471,72.524584,9824285665,,09:00 AM TO 09:00 PM,
ICL3718288,Ahmedabad Montessori School,"1St Floor, Polyclinic Center, Opp Chief Justice And #39;S Bunglow, Judges Bunglow Road, Premchand Nagar Society, Satellite",Ahmedabad,380054,Gujarat,www.ahmedabadmontessorischool.com,Education,Schools,23.036014,72.517524,7926873913,,10:00 AM TO 10:00 PM,
