keywords_for_street_name,keywords_for_landmarks,keywords_for_building_name,keywords_for_shop_house_no,keywords_for_district_name,keywords_for_village_or_city
street name,behind,apart,shop n,dist,gaon
street,near,appt,shop number,district,gav
marg,above,apts,gala n ,jilha,village
road,opp.,arcade,store n,,pur
path,opp:,bhavan,house n,,shahar 
rasta,opposite,bhawan,home n,,city 
lane,above,bldg,apartment,,taluka 
,adj,building,appt,,town 
,adjacent,cent,flat,,
,b/h,chamber,building n,,
,behind,chember,room n,,
,below,complex,niwas,,
,beside,cplx,,,
,in front of,enclave,,,
,near,estate,,,
,next to,height,,,
,nr,house,,,
,off,housin,,,
,opp,hsg,,,
,opposite,mall,,,
,,niwas,,,
,,palace,,,
,,plaza,,,
,,residenc,,,
,,soc,,,
,,society,,,
,,tower,,,
,,trade,,,
,,vihar,,,
,,villa,,,
