,UniqueId,Business name,Address,City,Pincode,State,Website,Main Category,Sub Category,Latitude,Longitude,Phone No.1,Phone No.2,Business Hours,Phone Remark,raw_address,country,words_in_address,pin_codes_found,states_found,street_names_found,landmarks_found,shop_house_nos_found,districts_found,village_or_citys_found
0,ICL0556829,Andic Lifescuencs Private Limited,"B-44, Circle-B, S G Road, B/H Hotel Pakwan-Ii, Bodakdev",Ahmedabad,380054,Gujarat,,Health,Pharmacies,23.033136,72.509951,9825089213,,08:30 AM TO 10:00 PM,,"b-44, circle-b, s g road, b/h hotel pakwan-ii, bodakdev",india,"['circle-b', 'b/h hotel pakwan-ii', 's g road', 'bodakdev', 'b-44']",,,S g road,B/h hotel pakwan-ii,,,
1,ICL8849096,Shaaddha Clinic,"Prince Flat, Near Raghuvir Complex, Nava Naroda Road, Near Bhavani Dairy Parlour, Krishna Nagar",Ahmedabad,382345,Gujarat,,Health,Clinics,23.05198459,72.65818539,9558805548,,11:00 AM TO 01:30 PM AND 05:00 PM TO 09:00 PM,,"prince flat, near raghuvir complex, nava naroda road, near bhavani dairy parlour, krishna nagar",india,"['near bhavani dairy parlour', 'krishna nagar', 'prince flat', 'near raghuvir complex', 'nava naroda road']",,,Nava naroda road,"Near raghuvir complex, Near bhavani dairy parlour",Prince flat,,
2,ICL7627485,Ahmedabad Physiotherapy College,"Ghuma, Bopal-Ghuma Road, State Highway, South Bopal, Bopal",Ahmedabad,380058,Gujarat,,Education,Colleges,23.0299315,72.4590718,2717233127,,10:00 AM TO 04:00 PM,,"ghuma, bopal-ghuma road, state highway, south bopal, bopal",india,"['ghuma', 'bopal', 'state highway', 'south bopal', 'bopal-ghuma road']",,,Bopal-ghuma road,,,,
3,ICL6008863,Bharti Talim Shala,"Opp Infinium Toyota, Nana Chiloda",Ahmedabad,382330,Gujarat,,Education,Schools,23.098598,72.666161,9825398980,,08:00 AM TO 02:00 PM,,"opp infinium toyota, nana chiloda",india,"['nana chiloda', 'opp infinium toyota']",,,,Opp infinium toyota,,,
4,ICL1160616,Dr Brijesh S Patel - (Brij Dental Clinic),"1St Floor, Akash 3 Complex, 132 Feet Ring Road, Near Aec Cross Road, Naranpura",Ahmedabad,380013,Gujarat,,Health,Doctor,23.056774,72.549176,9898212228,,11:00 AM TO 02:00 PM AND 05:00 PM TO 08:00 PM,,"1st floor, akash 3 complex, 132 feet ring road, near aec cross road, naranpura",india,"['akash 3 complex', 'near aec cross road', 'naranpura', '132 feet ring road', '1st floor']",,,"Near aec cross road, 132 feet ring road",Near aec cross road,,,Naranpura
5,ICL1656394,Sanjeevani Medicines,"India Colony, Bapunagar Road, Near Ramji Mandir Road, Bapu Nagar",Ahmedabad,380024,Gujarat,,Health,Pharmacies,23.034116,72.634274,7922770361,,09:00 AM TO 11:00 PM,,"india colony, bapunagar road, near ramji mandir road, bapu nagar",india,"['india colony', 'near ramji mandir road', 'bapu nagar', 'bapunagar road']",,,"Near ramji mandir road, Bapunagar road",Near ramji mandir road,,,
6,ICL0925184,Meghani Nagar Police Station,"Ratansagar Char Rasta, Meghani Nagar",Ahmedabad,382345,Gujarat,,Govt. Office,Police Station,23.058226,72.620282,7922680408,,24 HRS,,"ratansagar char rasta, meghani nagar",india,"['ratansagar char rasta', 'meghani nagar']",,,Ratansagar char rasta,,,,
7,ICL8438359,Sun Chemist,"Sector-7/A, Opp Utkarsh School, Near Rameshwar Mandir, Nirnai Nagar",Ahmedabad,382481,Gujarat,,Health,Pharmacies,23.0758166,72.5611666,9898494859,,09:30 AM TO 11:00 PM,,"sector-7/a, opp utkarsh school, near rameshwar mandir, nirnai nagar",india,"['sector-7/a', 'opp utkarsh school', 'near rameshwar mandir', 'nirnai nagar']",,,,"Near rameshwar mandir, Opp utkarsh school",,,
8,ICL7199864,The Express Academy,"Naxatra Complex, Chandkheda, Near Bank Of India Atm",Ahmedabad,382424,Gujarat,,Education,Coaching / Training Centers,23.112641,72.5747,9737448382,,07:00 AM TO 02:00 PM,,"naxatra complex, chandkheda, near bank of india atm",india,"['naxatra complex', 'near bank of india atm', 'chandkheda']",,,,Near bank of india atm,,,
9,ICL6270135,Amee International,"12, 1St Floor, Paim Spring Building, Off C G Road, Nr Parimal Garden, Behind World Class Business House",Ahmedabad,380006,Gujarat,,Health,Pharmacies,23.019624,72.558466,7926408171,,09:00 AM TO 10:00 PM,,"12, 1st floor, paim spring building, off c g road, nr parimal garden, behind world class business house",india,"['off c g road', 'nr parimal garden', 'behind world class business house', '1st floor', '12', 'paim spring building']",,,Off c g road,"Off c g road, Nr parimal garden, Behind world class business house",,,
10,ICL18963252,Ippb,"Naroda Ie Post Officepl, Gidc, Naroda",Ahmedabad,382330,Gujarat,,Govt. Office,Aadhar Centre,23.08357483,72.66752313,1123362148,,10:00 AM TO 02:00 PM,,"naroda ie post officepl, gidc, naroda",india,"['naroda ie post officepl', 'naroda', 'gidc']",,,,Naroda ie post officepl,,,
11,ICL0584964,Patanjali Chikitsalay,"Bunglow No 2, Shiddhi-1 Bungalows, Opposite Murlidhar Gwaliya, Near Bopal Circle, S P Ring Road, Thaltej",Ahmedabad,380058,Gujarat,,Health,"Alternate Medicine ( Ayurveda, Homeopathy)",23.02981655,72.47364736,8141704042,,09:30 AM TO 10:00 PM,,"bunglow no 2, shiddhi-1 bungalows, opposite murlidhar gwaliya, near bopal circle, s p ring road, thaltej",india,"['opposite murlidhar gwaliya', 'thaltej', 'bunglow no 2', 'shiddhi-1 bungalows', 's p ring road', 'near bopal circle']",,,S p ring road,"Opposite murlidhar gwaliya, Near bopal circle",,,
12,ICL3449232,Parekh Dr Harshad N,"1, Indraneel Society, Opp Jivraj Park, Vejalpur",Ahmedabad,380051,Gujarat,,Health,Doctor,23.005912,72.53105,7926810503,,11:00 AM TO 01:30 PM AND 05:00 PM TO 08:30 PM,,"1, indraneel society, opp jivraj park, vejalpur",india,"['indraneel society', 'opp jivraj park', 'vejalpur', '1']",,,,Opp jivraj park,,,Vejalpur
13,ICL1253063,Dr Rawal'S Dental Clinic,"Ff/15 Abhinandan Complex, Opp. Inductotherm Factory, Nandanpark Society, Bopal",Ahmedabad,380058,Gujarat,,Health,Clinics,23.03148229,72.47194715,9624519844,,10:30 AM TO 11:30 PM,,"ff/15 abhinandan complex, opp. inductotherm factory, nandanpark society, bopal",india,"['opp. inductotherm factory', 'ff/15 abhinandan complex', 'nandanpark society', 'bopal']",,,,Opp. inductotherm factory,,,
14,ICL0379595,Chandramoli Mahadev Temple,"Plot No 21/22, Vibhavari Society, Juhapura",Ahmedabad,380051,Gujarat,,Religion,Temples,23.004236,72.529464,,,06:00 AM TO 09:30 AM AND 05:00 PM TO 09:30 PM,,"plot no 21/22, vibhavari society, juhapura",india,"['plot no 21/22', 'vibhavari society', 'juhapura']",,,,,,,Juhapura
15,ICL2137872,Udgam Institute,"A/4, Alaknanda Flat, Opp Bhimal Flat, Nr Azad Society, Ambavadi",Ahmedabad,380054,Gujarat,,Education,Coaching / Training Centers,23.050019,72.51988,7926752464,,09:00 AM TO 11:00 PM AND 02:00 PM TO 09:00 PM,,"a/4, alaknanda flat, opp bhimal flat, nr azad society, ambavadi",india,"['alaknanda flat', 'opp bhimal flat', 'ambavadi', 'a/4', 'nr azad society']",,,,"Nr azad society, Opp bhimal flat","Opp bhimal flat, Alaknanda flat",,
16,ICL2058319,Jeets Academy,"224, Saman Complex, Mansi Cross Road, Vastrapur",Ahmedabad,380015,Gujarat,,Education,Coaching / Training Centers,23.032471,72.524584,9824285665,,09:00 AM TO 09:00 PM,,"224, saman complex, mansi cross road, vastrapur",india,"['saman complex', '224', 'vastrapur', 'mansi cross road']",,,Mansi cross road,,,,Vastrapur
17,ICL3718288,Ahmedabad Montessori School,"1St Floor, Polyclinic Center, Opp Chief Justice And #39;S Bunglow, Judges Bunglow Road, Premchand Nagar Society, Satellite",Ahmedabad,380054,Gujarat,www.ahmedabadmontessorischool.com,Education,Schools,23.036014,72.517524,7926873913,,10:00 AM TO 10:00 PM,,"1st floor, polyclinic center, opp chief justice and #39;s bunglow, judges bunglow road, premchand nagar society, satellite",india,"['polyclinic center', 'satellite', 'opp chief justice and #39;s bunglow', 'judges bunglow road', 'premchand nagar society', '1st floor']",,,Judges bunglow road,Opp chief justice and #39;s bunglow,,,
18,ICL2728895,Jiyanshi Clinic,"Opposite Limdiya Hanuman Mandir, Nikol Gam Road, Nicol",Ahmedabad,382350,Gujarat,,Health,Clinics,23.04101085,72.66684053,8866178049,,10:00 AM TO 02:00 PM AND 05:00 PM TO 09:00 PM,,"opposite limdiya hanuman mandir, nikol gam road, nicol",india,"['nikol gam road', 'opposite limdiya hanuman mandir', 'nicol']",,,Nikol gam road,Opposite limdiya hanuman mandir,,,
19,ICL3938213,Shree Satima Mandir,"Service Road, New Mani Nagar, Dharti Colony, Narolgam, Near Federal Bank Atm",Ahmedabad,382405,Gujarat,,Religion,Temples,22.9638065,72.5910107,,,06:30 AM TO 09:00 AM AND 05:00 PM TO 08:00 PM,,"service road, new mani nagar, dharti colony, narolgam, near federal bank atm",india,"['new mani nagar', 'narolgam', 'service road', 'dharti colony', 'near federal bank atm']",,,Service road,Near federal bank atm,,,
20,ICL6268402,Indian Institute Of Public Health,"Sardar Patel Institute Campus, Opp Udgam School, Drive In Road",Ahmedabad,380054,Gujarat,www.thfi.org,Education,Coaching / Training Centers,23.047798,72.520558,7940240444,,07:00 AM TO 07:00 PM,,"sardar patel institute campus, opp udgam school, drive in road",india,"['sardar patel institute campus', 'drive in road', 'opp udgam school']",,,Drive in road,Opp udgam school,,,
21,ICL3984334,Sanjivani Ayurvedic,"291 Sky Viewe, Nr Gh 5 Circle, Nr 17/22 Bus Stand",Ahmedabad,382421,Gujarat,,Health,"Alternate Medicine ( Ayurveda, Homeopathy)",23.1799805,72.6347749,9327062323,,09:30 AM TO 11:30 PM,,"291 sky viewe, nr gh 5 circle, nr 17/22 bus stand",india,"['nr gh 5 circle', '291 sky viewe', 'nr 17/22 bus stand']",,,,"Nr gh 5 circle, Nr 17/22 bus stand",,,
22,ICL23992931,Post Office - Maninagar S.O,"Maninagar, Taluka Ahmadabad City, District Ahmedabad",Ahmedabad,380008,Gujarat,www.indiapost.gov.in,Govt. Office,Post Office,22.99581846,72.6039503,18002666868,,09:00 AM TO 06:00 PM,,"maninagar, taluka ahmadabad city, district ahmedabad",india,"['taluka ahmadabad city', 'district ahmedabad', 'maninagar']",,,,,,District ahmedabad,Taluka ahmadabad city
23,ICL3519756,Dr Bhagwan L Dhirwani - (Dr Bhaguram Dhirumani),"Ground Floor, Love Consultant, Opposite Asara Cinema, Kankaria",Ahmedabad,380002,Gujarat,,Health,Doctor,23.003017,72.596384,7925430723,,10:30 AM TO 02:00 PM AND 06:00 PM TO 08:00 PM,,"ground floor, love consultant, opposite asara cinema, kankaria",india,"['ground floor', 'kankaria', 'opposite asara cinema', 'love consultant']",,,,Opposite asara cinema,,,
24,ICL09640313,Post Office - Kathwada B.O,"Kathwada, Taluka Daskroi, District Ahmedabad",Ahmedabad,382430,Gujarat,www.indiapost.gov.in,Govt. Office,Post Office,23.05807985,72.70834948,18002666868,,09:00 AM TO 06:00 PM,,"kathwada, taluka daskroi, district ahmedabad",india,"['taluka daskroi', 'kathwada', 'district ahmedabad']",,,,,,District ahmedabad,Taluka daskroi
25,ICL5843747,Yogi Eye Hospital,"D 305/3, Galaxy Arcade, Near Galaxy Cinema, Naroda 382330, Chandresh Society, Makarpura, Gidc Naroda",Ahmedabad,382330,Gujarat,,Health,Hospitals,23.0779619,72.6545136,9825023834,,10:30 AM TO 08:00 PM,,"d 305/3, galaxy arcade, near galaxy cinema, naroda 382330, chandresh society, makarpura, gidc naroda",india,"['gidc naroda', 'naroda 382330', 'near galaxy cinema', 'galaxy arcade', 'd 305/3', 'makarpura', 'chandresh society']",382330,,,Near galaxy cinema,,,Makarpura
26,ICL4414815,Gayatri Homoeopathic Clinic,"Bhimjipura Road, Nava Vadaj, Bhimjipura, Near Gurjar Kshatriya Hostel",Ahmedabad,380013,Gujarat,,Health,Clinics,23.060398,72.568329,9409605531,,11:00 AM TO 02:00 PM AND 06:00 PM TO 08:00 PM,,"bhimjipura road, nava vadaj, bhimjipura, near gurjar kshatriya hostel",india,"['nava vadaj', 'near gurjar kshatriya hostel', 'bhimjipura road', 'bhimjipura']",,,Bhimjipura road,Near gurjar kshatriya hostel,,,"Bhimjipura road, Bhimjipura"
27,ICL5018769,Auroma Ayurvedic,"1/1, New Bapu Cross Road Bapu Nagar Shaktidhara Complex, Opp Daimond Market",Ahmedabad,380024,Gujarat,,Health,Doctor,23.037108,72.630776,9426590180,7922747197,08:30 AM TO 07:30 PM,,"1/1, new bapu cross road bapu nagar shaktidhara complex, opp daimond market",india,"['opp daimond market', 'new bapu cross road bapu nagar shaktidhara complex', '1/1']",,,New bapu cross road bapu nagar shaktidhara complex,Opp daimond market,,,
28,ICL2013865,Samved Hospital,"Commerce Zone, 2Nd Floor, Nr Sopan Flat, Near Stadium Circle, Navrangpura",Ahmedabad,380009,Gujarat,,Health,Hospitals,23.040399,72.557897,7926431616,7965623738,09:00 AM TO 08:00 PM,,"commerce zone, 2nd floor, nr sopan flat, near stadium circle, navrangpura",india,"['nr sopan flat', '2nd floor', 'navrangpura', 'commerce zone', 'near stadium circle']",,Daman and Diu,,"Nr sopan flat, Near stadium circle",Nr sopan flat,,Navrangpura
29,ICL7882241,Dr Urmil Shah,"201, Balleshwar Avn, Opp Rajpath Club, Bodakdev",Ahmedabad,380054,Gujarat,,Health,Doctor,23.041084,72.5145,9825066939,,08:00 AM TO 08:00 PM,,"201, balleshwar avn, opp rajpath club, bodakdev",india,"['opp rajpath club', '201', 'balleshwar avn', 'bodakdev']",,,Opp rajpath club,Opp rajpath club,,,
30,ICL8715168,Shah Dr Nilesh M,"301, 3Rd Floor, Sangini Complex, Nr Parimal Rly Crossing, Ellisbridge",Ahmedabad,380006,Gujarat,,Health,Doctor,23.0175,72.558333,7926465131,9825043748,10:00 AM TO 01:00 PM AND 05:30 PM TO 08:00 PM,,"301, 3rd floor, sangini complex, nr parimal rly crossing, ellisbridge",india,"['nr parimal rly crossing', 'ellisbridge', '3rd floor', 'sangini complex', '301']",,,,Nr parimal rly crossing,,,
31,ICL0738411,Abhay D Khandekar,"Siddhi Vinayak Hospital, Nr Balvatika Jaldhara Waterworld Kankaria, Narolgam",Ahmedabad,380002,Gujarat,,Health,Doctor,23.004167,72.606287,7925465128,7925471025,11:00 AM TO 12:30 PM AND 05:00 PM TO 08:00 PM,,"siddhi vinayak hospital, nr balvatika jaldhara waterworld kankaria, narolgam",india,"['siddhi vinayak hospital', 'nr balvatika jaldhara waterworld kankaria', 'narolgam']",,,,Nr balvatika jaldhara waterworld kankaria,,,
32,ICL6327803,Shree Balaji Ayurved,"Shop No-2, Deep Darsan Complex, Near Jayhind Cross Road, Opposite Saraswati School, Mani Nagar",Ahmedabad,380008,Gujarat,,Health,"Alternate Medicine ( Ayurveda, Homeopathy)",22.9957392,72.60819232,9426750347,9428313821,10:30 AM TO 10:30 PM,,"shop no-2, deep darsan complex, near jayhind cross road, opposite saraswati school, mani nagar",india,"['mani nagar', 'shop no-2', 'deep darsan complex', 'opposite saraswati school', 'near jayhind cross road']",,,Near jayhind cross road,"Near jayhind cross road, Opposite saraswati school",Shop no-2,,
33,ICL5062667,Dhanwantari Hospital,"34, Shradhadeep Complex, Ankur Ring Road Circle, Opp Shastrinagar, Narayan Pura",Ahmedabad,380013,Gujarat,,Health,Hospitals,23.062346,72.551298,9825562113,9833288919,11:00 AM TO 08:30 PM,,"34, shradhadeep complex, ankur ring road circle, opp shastrinagar, narayan pura",india,"['shradhadeep complex', 'ankur ring road circle', 'opp shastrinagar', '34', 'narayan pura']",,,Ankur ring road circle,Opp shastrinagar,,,Narayan pura
34,ICL7261257,Jai Radhe Sales,"309/310, Harikrupa Tower, Near Old Sharda Mandir, Behind Gujrat College Ellisbridge",Ahmedabad,380006,Gujarat,www.jairadhesales.com,Health,Pharmacies,23.02002611,72.56132418,7926431096,9426709766,08:30 AM TO 11:00 PM,,"309/310, harikrupa tower, near old sharda mandir, behind gujrat college ellisbridge",india,"['309/310', 'harikrupa tower', 'behind gujrat college ellisbridge', 'near old sharda mandir']",,Gujarat,,"Behind gujrat college ellisbridge, Near old sharda mandir",,,
35,ICL4059431,Jay Hanuman Temple,"New Mani Nagar, Service Road, Dharti Colony, Narolgam, Near Hanuman Temple",Ahmedabad,382405,Gujarat,,Religion,Temples,22.9633354,72.5916207,,,06:00 AM TO 09:00 AM AND 05:00 PM TO 08:00 PM,,"new mani nagar, service road, dharti colony, narolgam, near hanuman temple",india,"['new mani nagar', 'narolgam', 'service road', 'dharti colony', 'near hanuman temple']",,,Service road,Near hanuman temple,,,
36,ICL3860499,Astha Medical And Provision Store,"Shop No 2, Astha Complex-1, Opposite Madhav School, Ratanpura, Vastral",Ahmedabad,380026,Gujarat,,Health,Pharmacies,23.00307083,72.66343345,9898381519,,08:30 AM TO 10:00 PM,,"shop no 2, astha complex-1, opposite madhav school, ratanpura, vastral",india,"['vastral', 'shop no 2', 'astha complex-1', 'opposite madhav school', 'ratanpura']",,,,Opposite madhav school,Shop no 2,,Ratanpura
37,ICL5449686,Meet Homoeopathic Clinic,"Yash Building, Cross Road, Naranpura",Ahmedabad,380013,Gujarat,,Health,Clinics,23.05226939,72.560257,9979120802,,10:00 AM TO 12:30 PM AND 05:30 PM TO 08:30 PM,,"yash building, cross road, naranpura",india,"['cross road', 'yash building', 'naranpura']",,,Cross road,,,,Naranpura
38,ICL4994834,Jain Visha Shrimali Caste Dispensary,"S'Sheri, Opp Shiv Temple, Manekchowk",Ahmedabad,380001,Gujarat,,Health,Hospitals,23.023381,72.589329,7922140211,,10:30 AM TO 12:30 PM,,"s'sheri, opp shiv temple, manekchowk",india,"['opp shiv temple', ""s'sheri"", 'manekchowk']",,,,Opp shiv temple,,,
39,ICL4041246,Dr Kiran Vachhani,"India Colony Road, Opp Naran Chamber, Bapu Nagar",Ahmedabad,382345,Gujarat,,Health,Doctor,23.038821,72.633005,7922760850,,10:00 AM TO 02:00 PM AND 05:00 PM TO 08:00 PM,,"india colony road, opp naran chamber, bapu nagar",india,"['opp naran chamber', 'india colony road', 'bapu nagar']",,,India colony road,Opp naran chamber,,,
40,ICL4881381,Shreeji Clinic,"5, Jivan Sagar Complex, Opposite Balbhavan, Khokhara",Ahmedabad,380008,Gujarat,,Health,Clinics,23.00180129,72.61662242,9714609489,,09:30 AM TO 01:00 PM AND 06:00 PM TO 08:30 PM,,"5, jivan sagar complex, opposite balbhavan, khokhara",india,"['jivan sagar complex', 'opposite balbhavan', 'khokhara', '5']",,,,Opposite balbhavan,,,
41,ICL4474767,Jay Tuition Group,"Shubhalaxmi Flats, Khodiyar Mandir Char Rasta, Bapunagar",Ahmedabad,380024,Gujarat,,Education,Coaching / Training Centers,23.0450146,72.6323108,9879305707,,08:00 AM TO 04:00 PM,,"shubhalaxmi flats, khodiyar mandir char rasta, bapunagar",india,"['shubhalaxmi flats', 'bapunagar', 'khodiyar mandir char rasta']",,,Khodiyar mandir char rasta,,Shubhalaxmi flats,,
42,ICL0609664,Shri Divyadrashti Laser Clinic Private Limited,"101, 15, White Cross;Patel Society, From Panchwati To Gulbai Tekra, Ellisbridge",Ahmedabad,380006,Gujarat,,Health,Clinics,23.028874,72.558468,7926401440,,10:00 AM TO 06:30 PM,,"101, 15, white cross;patel society, from panchwati to gulbai tekra, ellisbridge",india,"['from panchwati to gulbai tekra', '101', 'white cross;patel society', 'ellisbridge', '15']",,,,,,,
43,ICL7592479,Excellent Group Tution,"Bhakti Residency, Near Mahakali Temple, Bapu Nagar",Ahmedabad,380024,Gujarat,,Education,Coaching / Training Centers,23.0389082,72.6311753,8000311050,,10:00 AM TO 09:30 PM,,"bhakti residency, near mahakali temple, bapu nagar",india,"['near mahakali temple', 'bapu nagar', 'bhakti residency']",,,,Near mahakali temple,,,
44,ICL8992495,Adarsh Medical,"Road Number 5, Sector 22, Near Kakav Neurore Habilitation Centre, Gandhinagar",Ahmedabad,382016,Gujarat,,Health,Pharmacies,23.232159,72.653793,9879560381,,08:00 AM TO 10:30 PM,,"road number 5, sector 22, near kakav neurore habilitation centre, gandhinagar",india,"['gandhinagar', 'sector 22', 'near kakav neurore habilitation centre', 'road number 5']",,,Road number 5,Near kakav neurore habilitation centre,,,
45,ICL5739442,Sahyog Agencies,"A/8, Opp Devraj Mall, Jaysomnath Society, Nr Approach, Bapunagar",Ahmedabad,380024,Gujarat,,Health,Pharmacies,23.038794,72.632179,7922771557,9879370789,09:00 AM TO 11:00 PM,,"a/8, opp devraj mall, jaysomnath society, nr approach, bapunagar",india,"['opp devraj mall', 'jaysomnath society', 'a/8', 'nr approach', 'bapunagar']",,,,"Nr approach, Opp devraj mall",,,
46,ICL2488551,Dr Nimisha Pandya - (Shalby Hospital),"Shaby Hospitals, Vijay Cross Road, Near Fire Station, Navrangpura",Ahmedabad,380009,Gujarat,,Health,Doctor,23.043921,72.549601,9824466884,,10:00 AM TO 02:00 PM AND 05:00 PM TO 08:00 PM,,"shaby hospitals, vijay cross road, near fire station, navrangpura",india,"['shaby hospitals', 'navrangpura', 'vijay cross road', 'near fire station']",,,Vijay cross road,Near fire station,,,Navrangpura
47,ICL05309425,Post Office - Kabir Chowk S.O,"Kabir Chowk, Taluka Ahmadabad City, District Ahmedabad",Ahmedabad,380005,Gujarat,www.indiapost.gov.in,Govt. Office,Post Office,23.09149793,72.58494089,18002666868,,09:00 AM TO 06:00 PM,,"kabir chowk, taluka ahmadabad city, district ahmedabad",india,"['taluka ahmadabad city', 'district ahmedabad', 'kabir chowk']",,,,,,District ahmedabad,Taluka ahmadabad city
48,ICL1356379,Dream Zone Academy,"420, Platinium Plaza, Fourth Floor, Near Rajhansh Cinema, New India Colony, Nikol",Ahmedabad,380049,Gujarat,,Education,Coaching / Training Centers,23.049786,72.6670469,7575062411,,10:30 AM TO 11:00 PM,,"420, platinium plaza, fourth floor, near rajhansh cinema, new india colony, nikol",india,"['fourth floor', 'near rajhansh cinema', 'platinium plaza', '420', 'nikol', 'new india colony']",,,,Near rajhansh cinema,,,
49,ICL4735141,Saraswati Education English Speaking,"Next To Anand, Ranip, Near Axis Bank Curreny Chest",Ahmedabad,382470,Gujarat,,Education,Coaching / Training Centers,23.085652,72.560091,9879845028,,05:00 AM TO 11:00 AM AND 04:00 PM TO 08:00 PM,,"next to anand, ranip, near axis bank curreny chest",india,"['next to anand', 'near axis bank curreny chest', 'ranip']",,,,"Near axis bank curreny chest, Next to anand",,,
