,ASrNo,Business Name,Add,UniqueId,F_Pincode,new_Add_3,raw_address,country,words_in_address,pin_codes_found,states_found,street_names_found,landmarks_found,shop_house_nos_found,districts_found,village_or_citys_found
0,1368,N.KCAFE,"Shop No -Sn-1, Sindhiya House, Connaught Place, Central",ICL00406018,110001,"Shop No -Sn-1, Sindhiya House, Connaught Place, Central","shop no -sn-1, sindhiya house, connaught place, central",india,"['connaught place', 'central', 'shop no -sn-1', 'sindhiya house']",,,,,Shop no -sn-1,,
1,1389,Yadav tea stall,"Mohan Singh Palace, Connaught Place, Central",ICL06483572,110001,"Mohan Singh Palace, Connaught Place, Central","mohan singh palace, connaught place, central",india,"['mohan singh palace', 'connaught place', 'central']",,,,,,,
2,5672,ROOH BURGER CAFE,"A-22 Connaught Place, A-22, Connaught Place, Central Delhi",ICL14153509,110001,"A-22 Connaught Place, A-22, Connaught Place, Central Delhi","a-22 connaught place, a-22, connaught place, central delhi",india,"['connaught place', 'central delhi', 'a-22', 'a-22 connaught place']",,NCT of Delhi,,,,,
3,5685,thikhana cafe &restaurants,"Kargin Hero Kutti Basemnt, Connaught Place, New Delhii District, New Delhii",ICL38991753,110001,"Kargin Hero Kutti Basemnt, Connaught Place, New Delhi District, New Delhi","kargin hero kutti basemnt, connaught place, new delhii district, new delhii",india,"['kargin hero kutti basemnt', 'connaught place', 'new delhii district', 'new delhii']",,NCT of Delhi,,,,New delhii district,
4,7470,Umesh Tea Stall,"Kailash Building, K G Marg, Connaught Place, Central Delhi",ICL49794627,110001,"Kailash Building, K G Marg, Connaught Place, Central Delhi","kailash building, k g marg, connaught place, central delhi",india,"['kailash building', 'k g marg', 'connaught place', 'central delhi']",,NCT of Delhi,K g marg,,,,
5,575080,Grooming cafe,"S-106 2Nd Floor, V3S East Centre, Anand Vihar, East",ICL09951871,110001,"S-106 2Nd Floor, V3S East Centre, Anand Vihar, East","s-106 2nd floor, v3s east centre, anand vihar, east",india,"['v3s east centre', 'anand vihar', 's-106 2nd floor', 'east']",,,,,,,
6,5676,BHAPE DA HOTEL,"75 Municipal Market, Connaught Place, New Delhii G.P.O., New Delhii",ICL09589296,110001,"75 Municipal Market, Connaught Place, New Delhi G.P.O., New Delhi","75 municipal market, connaught place, new delhii g.p.o., new delhii",india,"['connaught place', '75 municipal market', 'new delhii g.p.o.', 'new delhii']",,NCT of Delhi,,,,,
7,5661,KWALITY RESTRAUNT,"7, Regal Building, Connaught Place, Central Delhi",ICL01966381,110001,"7, Regal Building, Connaught Place, Central Delhi","7, regal building, connaught place, central delhi",india,"['regal building', 'connaught place', 'central delhi', '7']",,NCT of Delhi,,,,,
8,5674,ROYAL RESTAURANT,"81 Municipal Market, Connaught Circus, New Delhii G.P.O., New Delhii",ICL29920375,110001,"81 Municipal Market, Connaught Circus, New Delhi G.P.O., New Delhi","81 municipal market, connaught circus, new delhii g.p.o., new delhii",india,"['81 municipal market', 'connaught circus', 'new delhii g.p.o.', 'new delhii']",,NCT of Delhi,,,,,
9,5675,NEW NATIONAL RESTAURANT,"82-83, Municipal Market, Connaught Place, C.P., Central Delhi",ICL09338229,110001,"82-83, Municipal Market, Connaught Place, C.P., Central Delhi","82-83, municipal market, connaught place, c.p., central delhi",india,"['connaught place', 'c.p.', '82-83', 'municipal market', 'central delhi']",,NCT of Delhi,,,,,
